time_sec,x,y,path_length
740.621,-1.999897959505886,-0.5000010692922016,0.0001701793029535141
740.655,-1.99989793897489,-0.5000010692277126,0.00017019983405058787
740.689,-1.9998979323641868,-0.5000010692978921,0.00017020644512641002
740.723,-1.9998979290899896,-0.5000010693158914,0.00017020971937301905
740.757,-1.999897952237654,-0.5000010692205874,0.00017023286723366377
740.791,-1.9998979672867478,-0.5000010693231396,0.00017024791667683006
740.825,-1.9998979800097039,-0.5000010693179566,0.0001702606396339078
740.859,-1.9998979824343277,-0.5000010692885986,0.00017026306443547449
740.893,-1.9998979745436665,-0.5000010692277486,0.00017027095533133334
740.927,-1.9998979558939776,-0.5000010692953564,0.00017028960514278127
740.961,-1.99989792873739,-0.5000010693347771,0.00017031676175903823
740.995,-1.9998979265848875,-0.5000010692406517,0.00017031891631842747
741.029,-1.999897927813341,-0.5000010693529651,0.00017032014989552165
741.063,-1.9998979324937713,-0.5000010693585711,0.00017032483032914462
741.097,-1.9998979501990668,-0.5000010693409674,0.00017034253563334793
741.131,-1.9998979529934426,-0.500001069312412,0.00017034533015508903
741.165,-1.9998979454826487,-0.5000010692519731,0.0001703528411922457
741.199,-1.999897927214448,-0.500001069319984,0.0001703711095195746
741.233,-1.999897910830966,-0.5000010693783928,0.00017038749310559553
741.267,-1.9998979046706258,-0.5000010693805913,0.00017039365344622575
741.301,-1.9998979196687634,-0.5000010693372741,0.00017040865164640024
741.335,-1.9998979231855742,-0.5000010693901893,0.00017041216885531124
741.369,-1.9998979412144429,-0.5000010693723008,0.00017043019773280605
741.403,-1.9998979443153955,-0.5000010693436271,0.00017043329881797842
741.437,-1.9998979371099428,-0.5000010692830833,0.0001704405045250124
741.471,-1.9998979191445299,-0.5000010693509958,0.0001704584700663076
741.505,-1.999897892666852,-0.5000010693906902,0.00017048494777388993
741.539,-1.999897891188262,-0.5000010692968083,0.0001704864293415095
741.573,-1.999897893089126,-0.5000010694093542,0.00017048833353452023
741.607,-1.9998978984381535,-0.5000010694151795,0.00017049368256513546
741.641,-1.9998979168080224,-0.5000010693977748,0.00017051205244233994
741.675,-1.9998979202639966,-0.5000010693694003,0.0001705155085329929
741.709,-1.9998979134116206,-0.5000010693091287,0.00017052236117405357
741.743,-1.9998978957991012,-0.5000010693772959,0.00017053997382541274
741.777,-1.999897880067971,-0.5000010694358441,0.000170555705064541
741.811,-1.9998978745571463,-0.5000010694381688,0.0001705612158897168
741.845,-1.9998978902017286,-0.5000010693949646,0.00017057686053166958
741.879,-1.999897894362382,-0.5000010694479834,0.0001705810215228401
741.913,-1.9998979130322077,-0.5000010694301817,0.00017059969135701245
741.947,-1.999897916771443,-0.5000010694015857,0.00017060343070172146
741.981,-1.9998979102016112,-0.500001069341109,0.00017061000081185603
742.015,-1.9998978928692595,-0.5000010694090784,0.0001706273332969037
742.049,-1.9998978670220784,-0.5000010694488195,0.0001706531805085176
742.083,-1.9998978661715798,-0.5000010693549748,0.00017065403616886547
742.117,-1.999897868698165,-0.5000010694675505,0.00017065656526077397
742.151,-1.9998978727393404,-0.5000010694286233,0.0001706606066236498
742.185,-1.999897887714202,-0.5000010694555996,0.00017067558150952086
742.219,-1.9998978918274886,-0.5000010694257925,0.00017067969490411927
742.253,-1.999897885641864,-0.50000106936571,0.00017068588082036753
742.287,-1.9998978686957725,-0.5000010694340116,0.00017070282704965351
742.321,-1.9998978432298726,-0.5000010694740631,0.00017072829298098234
742.355,-1.999897842756,-0.5000010693805065,0.0001707287760008498
742.389,-1.9998978456596188,-0.500001069493365,0.00017073168181222747
742.423,-1.999897852006067,-0.5000010694994814,0.00017073802826343066
742.457,-1.9998978713677324,-0.5000010694823439,0.00017075738993639717
742.491,-1.9998978758114019,-0.500001069454218,0.00017076183369483947
742.525,-1.9998978699423113,-0.5000010693941749,0.00017076770309251037
742.559,-1.999897853309335,-0.5000010694625556,0.0001707843362094013
742.593,-1.9998978281556838,-0.5000010695026764,0.00017080948989256015
742.627,-1.99989782799327,-0.5000010694091903,0.00017080967729030374
742.661,-1.999897831206384,-0.5000010695221169,0.0001708128923881196
742.695,-1.999897835929701,-0.5000010694835144,0.00017081761586293173
742.729,-1.9998978515827481,-0.5000010695107963,0.00017083326893378733
742.763,-1.999897856370788,-0.5000010694812783,0.00017083805706473904
742.797,-1.9998978508564658,-0.5000010694214665,0.00017084357171144
742.831,-1.999897834578729,-0.5000010694900214,0.00017085984959251563
742.865,-1.999897820174904,-0.5000010695489301,0.00017087425353799881
742.899,-1.9998978159666672,-0.5000010694353005,0.0001708784633086849
742.933,-1.9998978195301187,-0.5000010695519553,0.0001708820286691401
742.967,-1.9998978245986097,-0.5000010695132738,0.0001708870973077022
743.001,-1.9998978405943775,-0.5000010695405614,0.00017090309309879893
743.035,-1.9998978457238517,-0.5000010695110307,0.00017090822265798208
743.069,-1.9998978405498415,-0.5000010694512067,0.00017091339701393482
